Log
At time 4 process 1 started | Arrival time:3 | Total Runtime:22 | Remaining Time:22 | Waiting Time:1
At time 6 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:21 | Waiting Time:2
At time 6 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:21 | Waiting Time:2
At time 7 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:20 | Waiting Time:2
At time 7 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:20 | Waiting Time:2
At time 8 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:19 | Waiting Time:2
At time 8 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:19 | Waiting Time:2
At time 9 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:18 | Waiting Time:2
At time 9 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:18 | Waiting Time:2
At time 10 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:17 | Waiting Time:2
At time 10 process 2 started | Arrival time:9 | Total Runtime:11 | Remaining Time:11 | Waiting Time:1
At time 11 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:16 | Waiting Time:2
At time 12 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:15 | Waiting Time:2
At time 13 process 2 Stopped | Arrival time:9 | Total Runtime:11 | Remaining Time:10 | Waiting Time:3
At time 13 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:15 | Waiting Time:3
At time 14 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:14 | Waiting Time:3
At time 14 process 2 Resumed | Arrival time:9 | Total Runtime:11 | Remaining Time:10 | Waiting Time:4
At time 15 process 2 Stopped | Arrival time:9 | Total Runtime:11 | Remaining Time:9 | Waiting Time:4
At time 15 process 3 started | Arrival time:13 | Total Runtime:5 | Remaining Time:5 | Waiting Time:2
At time 16 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:13 | Waiting Time:4
At time 17 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:12 | Waiting Time:4
At time 17 process 4 started | Arrival time:13 | Total Runtime:20 | Remaining Time:20 | Waiting Time:4
At time 18 process 2 Resumed | Arrival time:9 | Total Runtime:11 | Remaining Time:8 | Waiting Time:6
At time 19 process 2 Stopped | Arrival time:9 | Total Runtime:11 | Remaining Time:7 | Waiting Time:6
At time 20 process 3 Stopped | Arrival time:13 | Total Runtime:5 | Remaining Time:4 | Waiting Time:6
At time 20 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:12 | Waiting Time:7
At time 21 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:11 | Waiting Time:7
At time 21 process 5 started | Arrival time:17 | Total Runtime:11 | Remaining Time:11 | Waiting Time:4
At time 23 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:19 | Waiting Time:9
At time 23 process 2 Resumed | Arrival time:9 | Total Runtime:11 | Remaining Time:7 | Waiting Time:10
At time 24 process 2 Stopped | Arrival time:9 | Total Runtime:11 | Remaining Time:6 | Waiting Time:10
At time 24 process 3 Resumed | Arrival time:13 | Total Runtime:5 | Remaining Time:4 | Waiting Time:10
At time 25 process 3 Stopped | Arrival time:13 | Total Runtime:5 | Remaining Time:3 | Waiting Time:10
At time 25 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:11 | Waiting Time:11
At time 26 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:10 | Waiting Time:11
At time 27 process 5 Stopped | Arrival time:17 | Total Runtime:11 | Remaining Time:10 | Waiting Time:9
At time 27 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:19 | Waiting Time:13
At time 28 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:18 | Waiting Time:13
At time 28 process 2 Resumed | Arrival time:9 | Total Runtime:11 | Remaining Time:6 | Waiting Time:14
At time 29 process 2 Stopped | Arrival time:9 | Total Runtime:11 | Remaining Time:5 | Waiting Time:14
At time 29 process 3 Resumed | Arrival time:13 | Total Runtime:5 | Remaining Time:3 | Waiting Time:14
At time 30 process 3 Stopped | Arrival time:13 | Total Runtime:5 | Remaining Time:2 | Waiting Time:14
At time 30 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:10 | Waiting Time:15
At time 31 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:9 | Waiting Time:15
At time 31 process 5 Resumed | Arrival time:17 | Total Runtime:11 | Remaining Time:10 | Waiting Time:13
At time 32 process 5 Stopped | Arrival time:17 | Total Runtime:11 | Remaining Time:9 | Waiting Time:13
At time 32 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:18 | Waiting Time:17
At time 33 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:17 | Waiting Time:17
At time 33 process 2 Resumed | Arrival time:9 | Total Runtime:11 | Remaining Time:5 | Waiting Time:18
At time 34 process 2 Stopped | Arrival time:9 | Total Runtime:11 | Remaining Time:4 | Waiting Time:18
At time 34 process 3 Resumed | Arrival time:13 | Total Runtime:5 | Remaining Time:2 | Waiting Time:18
At time 35 process 3 Stopped | Arrival time:13 | Total Runtime:5 | Remaining Time:1 | Waiting Time:18
At time 35 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:9 | Waiting Time:19
At time 36 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:8 | Waiting Time:19
At time 36 process 5 Resumed | Arrival time:17 | Total Runtime:11 | Remaining Time:9 | Waiting Time:17
At time 37 process 5 Stopped | Arrival time:17 | Total Runtime:11 | Remaining Time:8 | Waiting Time:17
At time 37 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:17 | Waiting Time:21
At time 38 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:16 | Waiting Time:21
At time 38 process 2 Resumed | Arrival time:9 | Total Runtime:11 | Remaining Time:4 | Waiting Time:22
At time 39 process 2 Stopped | Arrival time:9 | Total Runtime:11 | Remaining Time:3 | Waiting Time:22
At time 39 process 3 Resumed | Arrival time:13 | Total Runtime:5 | Remaining Time:1 | Waiting Time:22
At time 39 process 3 finished | Arrival time:13 | Total Runtime:5 | Remaining Time:0 | Waiting Time:21 | TA Time:26 | WTA: 5.00 | Processed Time:5
At time 39 process 1 resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:8 | Waiting Time:22
At time 39 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:8 | Waiting Time:22
At time 39 process 5 Resumed | Arrival time:17 | Total Runtime:11 | Remaining Time:8 | Waiting Time:19
At time 39 process 5 Stopped | Arrival time:17 | Total Runtime:11 | Remaining Time:8 | Waiting Time:19
At time 39 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:15 | Waiting Time:21
At time 40 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:14 | Waiting Time:21
At time 40 process 2 Resumed | Arrival time:9 | Total Runtime:11 | Remaining Time:3 | Waiting Time:23
At time 41 process 2 Stopped | Arrival time:9 | Total Runtime:11 | Remaining Time:2 | Waiting Time:23
At time 41 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:8 | Waiting Time:24
At time 42 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:7 | Waiting Time:24
At time 42 process 5 Resumed | Arrival time:17 | Total Runtime:11 | Remaining Time:8 | Waiting Time:22
At time 43 process 5 Stopped | Arrival time:17 | Total Runtime:11 | Remaining Time:7 | Waiting Time:22
At time 43 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:14 | Waiting Time:24
At time 44 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:13 | Waiting Time:24
At time 44 process 2 Resumed | Arrival time:9 | Total Runtime:11 | Remaining Time:2 | Waiting Time:26
At time 45 process 2 Stopped | Arrival time:9 | Total Runtime:11 | Remaining Time:1 | Waiting Time:26
At time 45 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:6 | Waiting Time:26
At time 46 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:5 | Waiting Time:26
At time 46 process 5 Resumed | Arrival time:17 | Total Runtime:11 | Remaining Time:7 | Waiting Time:25
At time 47 process 5 Stopped | Arrival time:17 | Total Runtime:11 | Remaining Time:6 | Waiting Time:25
At time 47 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:12 | Waiting Time:26
At time 48 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:11 | Waiting Time:26
At time 48 process 2 Resumed | Arrival time:9 | Total Runtime:11 | Remaining Time:1 | Waiting Time:29
At time 48 process 2 finished | Arrival time:9 | Total Runtime:11 | Remaining Time:0 | Waiting Time:28 | TA Time:39 | WTA: 3.00 | Processed Time:11
At time 48 process 1 resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:5 | Waiting Time:28
At time 48 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:5 | Waiting Time:28
At time 48 process 5 Resumed | Arrival time:17 | Total Runtime:11 | Remaining Time:6 | Waiting Time:26
At time 48 process 5 Stopped | Arrival time:17 | Total Runtime:11 | Remaining Time:6 | Waiting Time:26
At time 48 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:11 | Waiting Time:26
At time 49 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:10 | Waiting Time:26
At time 49 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:5 | Waiting Time:29
At time 50 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:4 | Waiting Time:29
At time 50 process 5 Resumed | Arrival time:17 | Total Runtime:11 | Remaining Time:6 | Waiting Time:28
At time 51 process 5 Stopped | Arrival time:17 | Total Runtime:11 | Remaining Time:5 | Waiting Time:28
At time 51 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:9 | Waiting Time:27
At time 52 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:8 | Waiting Time:27
At time 52 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:4 | Waiting Time:31
At time 53 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:3 | Waiting Time:31
At time 53 process 5 Resumed | Arrival time:17 | Total Runtime:11 | Remaining Time:5 | Waiting Time:30
At time 54 process 5 Stopped | Arrival time:17 | Total Runtime:11 | Remaining Time:4 | Waiting Time:30
At time 54 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:8 | Waiting Time:29
At time 55 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:7 | Waiting Time:29
At time 55 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:3 | Waiting Time:33
At time 56 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:2 | Waiting Time:33
At time 56 process 5 Resumed | Arrival time:17 | Total Runtime:11 | Remaining Time:4 | Waiting Time:32
At time 57 process 5 Stopped | Arrival time:17 | Total Runtime:11 | Remaining Time:3 | Waiting Time:32
At time 57 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:7 | Waiting Time:31
At time 58 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:6 | Waiting Time:31
At time 58 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:1 | Waiting Time:34
At time 59 process 1 Stopped | Arrival time:3 | Total Runtime:22 | Remaining Time:1 | Waiting Time:35
At time 59 process 5 Resumed | Arrival time:17 | Total Runtime:11 | Remaining Time:2 | Waiting Time:33
At time 60 process 5 Stopped | Arrival time:17 | Total Runtime:11 | Remaining Time:1 | Waiting Time:33
At time 60 process 4 Resumed | Arrival time:13 | Total Runtime:20 | Remaining Time:6 | Waiting Time:33
At time 61 process 4 Stopped | Arrival time:13 | Total Runtime:20 | Remaining Time:5 | Waiting Time:33
At time 61 process 1 Resumed | Arrival time:3 | Total Runtime:22 | Remaining Time:1 | Waiting Time:37
At time 61 process 1 finished | Arrival time:3 | Total Runtime:22 | Remaining Time:0 | Waiting Time:36 | TA Time:58 | WTA: 2.00 | Processed Time:22
