Log
At time 2 process 1 started | Arrival time:1 | Total Runtime:27 | Remaining Time:27 | Waiting Time:1
At time 5 process 1 Stopped | Arrival time:1 | Total Runtime:27 | Remaining Time:25 | Waiting Time:2
At time 5 process 1 Resumed | Arrival time:1 | Total Runtime:27 | Remaining Time:25 | Waiting Time:2
At time 8 process 1 Stopped | Arrival time:1 | Total Runtime:27 | Remaining Time:22 | Waiting Time:2
At time 8 process 1 Resumed | Arrival time:1 | Total Runtime:27 | Remaining Time:22 | Waiting Time:2
At time 11 process 1 Stopped | Arrival time:1 | Total Runtime:27 | Remaining Time:18 | Waiting Time:1
At time 11 process 2 started | Arrival time:9 | Total Runtime:3 | Remaining Time:3 | Waiting Time:2
At time 14 process 2 Stopped | Arrival time:9 | Total Runtime:3 | Remaining Time:1 | Waiting Time:3
At time 14 process 1 Resumed | Arrival time:1 | Total Runtime:27 | Remaining Time:18 | Waiting Time:4
At time 17 process 1 Stopped | Arrival time:1 | Total Runtime:27 | Remaining Time:15 | Waiting Time:4
At time 17 process 2 Resumed | Arrival time:9 | Total Runtime:3 | Remaining Time:1 | Waiting Time:6
At time 17 process 2 finished | Arrival time:9 | Total Runtime:3 | Remaining Time:0 | Waiting Time:5 | TA Time:8 | WTA: 2.00 | Processed Time:3
At time 17 process 1 resumed | Arrival time:1 | Total Runtime:27 | Remaining Time:15 | Waiting Time:4
At time 17 process 1 Stopped | Arrival time:1 | Total Runtime:27 | Remaining Time:15 | Waiting Time:4
At time 17 process 1 Resumed | Arrival time:1 | Total Runtime:27 | Remaining Time:15 | Waiting Time:4
At time 20 process 1 Stopped | Arrival time:1 | Total Runtime:27 | Remaining Time:12 | Waiting Time:4
At time 20 process 3 started | Arrival time:17 | Total Runtime:9 | Remaining Time:9 | Waiting Time:3
At time 23 process 3 Stopped | Arrival time:17 | Total Runtime:9 | Remaining Time:7 | Waiting Time:4
At time 23 process 1 Resumed | Arrival time:1 | Total Runtime:27 | Remaining Time:11 | Waiting Time:6
At time 26 process 1 Stopped | Arrival time:1 | Total Runtime:27 | Remaining Time:8 | Waiting Time:6
At time 26 process 4 started | Arrival time:17 | Total Runtime:12 | Remaining Time:12 | Waiting Time:9
